Date,Open,High,Low,Close,Adj Close,Volume
3/1/2023,23150.92969,29159.90234,19628.25391,28478.48438,28478.48438,8.833E+11
4/1/2023,28473.33203,31005.60742,27070.84961,29268.80664,29268.80664,5.1154E+11
5/1/2023,29227.10352,29820.12695,25878.42969,27219.6582,27219.6582,4.43473E+11
6/1/2023,27218.41211,31389.53906,24797.16797,30477.25195,30477.25195,4.81734E+11
7/1/2023,30471.84766,31814.51563,28934.29492,29230.11133,29230.11133,3.82224E+11
8/1/2023,29230.87305,30176.79688,25409.11133,25931.47266,25931.47266,4.37724E+11
9/1/2023,25934.02148,27488.76367,24930.29688,26967.91602,26967.91602,3.37637E+11
10/1/2023,26967.39648,35150.43359,26558.32031,34667.78125,34667.78125,4.76426E+11
11/1/2023,34657.27344,38415.33984,34133.44141,37712.74609,37712.74609,5.70863E+11
12/1/2023,37718.00781,44705.51563,37629.35938,42265.1875,42265.1875,7.21705E+11
1/1/2024,42280.23438,48969.37109,38521.89453,42582.60547,42582.60547,8.25919E+11
2/1/2024,42569.76172,52945.05078,41879.19141,51839.17969,51839.17969,5.20727E+11
,,,,,,
